Администрация Яльчикского района Чувашской Республики;101;101;2015-01-01
Администрация Яльчикского района Чувашской Республики;43;44;2015-02-01
Администрация Яльчикского района Чувашской Республики;45;46;2015-03-01
Администрация Яльчикского района Чувашской Республики;18;21;2015-04-01
Администрация Яльчикского района Чувашской Республики;16;16;2015-05-01
Администрация Янтиковского района Чувашской Республики;37;37;2015-01-01
Администрация Янтиковского района Чувашской Республики;48;48;2015-02-01
Администрация Янтиковского района Чувашской Республики;52;52;2015-03-01
Администрация Янтиковского района Чувашской Республики;33;33;2015-04-01
Администрация Янтиковского района Чувашской Республики;8;8;2015-05-01
